"Exercise-s";"Exercises"

"Exercise Name Capital";"Exercise Name"
"Primary Muscle Capital";"Primary Muscle"
"Secondary Muscle Capital";"Secondary Muscle"
"Mechanics Capital";"Mechanics"
"Equipment Used Capital";"Equipment Used"

"Exercises Capital";"Exercises"

"Workout Name Capital";"Workout Name"
"Start Date Capital";"Start Date"
"End Date Capital";"End Date"
"Record Date Capital";"Record Date"

"Calendar ucfirst";"Calendar"
"Delete Capital";"Delete"

"My Statistics lower";"My Statistics"
"Weekly Calendar lower";"Weekly Calendar"
"GYM Tracker lower";"GYM Tracker"

"Monthly Calendar lower";"Monthly Calendar"

"Monday short";"Mon"
"Tuesday short";"Tue"
"Wednesday short";"Wed"
"Thursday short";"Thu"
"Friday short";"Fri"
"Saturday short";"Sat"
"Sunday short";"Sun"

"Calendar lower";"Calendar"
"Exercise Details lower";"Exercise Details"
"Exercise Images lower";"Exercise Images"

"April Capital";"April"

"May Capital";"MAY"
