// İ, ı, Ö, ö, Ü, ü, Ç, ç, Ğ, ğ, Ş, ş
// &#304; &#305; &#214; &#246; &#220; &#252; &#199; &#231; &#286; &#287; &#350; &#351;

"Turkish";"Türkçe"
"English";"İngilizce"

"Yes";"Evet"
"Y";"Evet"
"No";"Hayır"
"N";"Hayır"
"Admin";"Yönetici"
"Standard";"Standart"
"Select One";"Birini Seçin"
"User";"Kullanıcı"
"One";"Bir"
"found";"bulundu"
"Logs";"Kayıtlar"
"Activity Logs";"Aktivite Kayıtları"
"Login Logs";"Giriş Kayıtları"
"Module";"Modül"
"Action";"Aksiyon"
"Activity";"Aktiviteler"
"Logins";"Giriş"
"Select All";"Hepsini Seç"
"All Selected";"Hepsi Seçildi"
"Delete";"Sil"
"Selected items are being deleted";"Seçİlen nesneler sİlİnİyor"
"Are you sure you want to delete these items?";"Seçilen nesneleri silmek istediğinizden eminmisiniz?"
"Items Deleted";"Nesneler Silindi"

"Pagination Per Page";"Sayfa Başına Sayfalama"

"%s Administrator Control Panel";"%s Yönetici Kontröl Paneli"

"Users";"Kullanıcılar"

"System";"Sistem Ayarları"

"Site Description";"Site Tanımlaması"
"Site Keywords";"Site Anahtarları"
 
"Username/Email";"Kullanıcı Adı/Email"
"Remember Me?";"Beni Hatırla?"
"Password";"Şifre"
"Login";"Giriş"
"Error Message";"Hata Mesajı"
"Success Message";"İşlem Onaylandı"
"Username or Password is Invalid!";"Kullanıcı adı veya Şifre yanlış!"
"Invalid Login or Password!";"Kullanıcı adı veya Şifre yanlış!"
"Click to Logout";"Çıkmak için buraya tıklayın"
"Are you sure you want to logout from the Administrator Panel?";"Administratör Kontrol Panelinden çıkmak istediğinizden eminmisiniz?"
"Cancel";"İptal"
"Yes";"Evet"
"No";"Hayır"
"Exiting from Admin Panel";"AdministratÖr kontrol panelİden Çıkılıyor"

"Login";"Giriş Yap"
"Login Capital";"GİRİŞ"
"Save";"Kaydet"
"Recover Password Capital";"ŞİFREMİ UNUTTUM"
"Send New Password";"Yeni Şifre Gönder"

"Welcome";"Hoş Geldiniz"
"My account";"Hesabım"
"Logout";"Çıkış"

"User Management";"Kullanıcılar"
"System Settings";"Sistem Ayarları"

"search something";"bir şey ara"
"Dashboard";"Genel"
"Site Statistics";"Site İstatistikleri"
"Application Statistics";"Uyguluma İstatistikleri"

"Close Sidebar";"Yan Paneli Kapat"

"Language";"Dil"
"Timezone";"Saat Dilimi"
"File System";"Dosya Sistemi"
"Login Remember";"Hatırlama Süresi"
"Cache Enabled:";"Ön Belleği Aktive Et:"
"Cache Type";"Ön Bellek Türü"
"Cache Directory";"Ön Bellek Dizini"
"Cache Lifetime";"Ön Bellek Süresi"
"Clear Cache";"Ön Belleği Temizle"
"Clean";"Temizle"
"Selecting this will clear the cache";"Burayı seçmeniz halinde ön bellek tamamen temizlenecektir"
"Cache database will be truncated";"Ön Bellek tamamıyla temizlenecektir"
"Cache database was truncated successfully";"Ön Bellek tamamıyla temizlendi"
"Are you sure you want to clear the cache?";"Ön Belleği tamamıyla temizlemek istediğinizden eminmisiniz?" 
"Default Module";"Geçerli Modül"
"Debug Enabled:";"Hata Ayıklayıcısını Aktive Et:"
"Database Host";"Veri Tabanı Sunucusu"
"Database Username";"Veri Tabanı Kullanıcı Adı"
"Database Password";"Veri Tabanı Şifresi"
"Database Name";"Veri Tabanı İsmi"
"General Settings";"Genel Ayarlar"
"Language Settings";"Dil Ayarları"
"Cache Settings";"Ön Bellek Ayarları"
"Debugging Settings";"Hata Ayıklayıcı Ayarları"
"Application Environment Settings for Production";"Yazılım Sunucusu Ayarları (Prodüksiyon Sunucusu için)"
"Application Environment Settings for Development";"Yazılım Sunucusu Ayarları (Geliştirme Sunucusu için)"
"Google Analytics Settings";"Google Analytics Ayarları"
"Enabled:";"Aktive Et:"
"Code";"Kod"
"System Settings were updated";"Sistem Ayarları başarıyla kaydedildi"
"Form Expiration Time";"Form Güvenlilik Süresi"
"Google Analytics will be turned on only for Production Server";"Google Analytics sadece Prodüksiyon Sunucusunda aktif olur"
"Make sure Memcached is installed on the server before selecting it";"Memcached'i seçmeden önce lütfen sunucuda yüklü olduğundan emin olunuz"
"This will only enable ZFDebug on the development environment";"ZFDebug sadece Geliştirme Sunucusunda aktif olur"
"Email Settings";"Email Ayarları"
"Mail Server Type";"Posta Sunucusu Türü"
"Mail Server";"Posta Sunucusu"
"Mail Server Port";"Posta Sunucusu Portu"
"Mail Server Username";"Posta Sunucusu Kullanıcı Adı"
"Mail Server Password";"Posta Sunucusu Şifresi"
"Date and Time Settings";"Tarih ve Saat Ayarları"
"Date Short";"Tarih Kısa"
"Date Long";"Tarih Uzun"
"Date and Time Short";"Tarih ve Saat Kısa"
"Date and Time Long";"Tarih ve Saat Uzun"
"Europe/Istanbul";"Avrupa/İstanbul"
"America/Denver";"Amerika/Denver"
"America/New_York";"Amerika/New York"
"America/Los_Angeles";"Amerika/Los Angeles"
"America/Vancouver";"Amerika/Vancouver"
"Europe/Amsterdam";"Avrupa/Amsterdam"
"Europe/Berlin";"Avrupa/Berlin"
"Europe/Madrid";"Avrupa/Madrid"
"Europe/Paris";"Avrupa/Paris"
"Europe/Rome";"Avrupa/Roma"
